City,Region,Address,Phone #s,Instructor
Champaign,Illinois,"University of Illinois 201 E. Peabody Champaign, IL",(630) 901-4739,Inst. Sarah Rogers
Galesburg,Illinois,,(309) 342-6222,JIKJN Ed Sanchez
Knoxville,Illinois,"220 West Side Public Square Knoxville, Il 61448",(309) 289-9757,Inst. Joshua Smith
Pekin,Illinois,"1530 N. 8th Street off Route 29 Pekin, IL 61554",(309) 346-3466,Inst. Michael Yates
Peoria,Illinois,"2302 West Glen Ave Peoria, IL 61614",(309) 229-0287,PKJN Ben Mitchell
Connersville,Indiana,"3542 Western Ave Connersville, IN 47331",(765) 993-8315,Inst.Benjamin Klein
Muncie,Indiana,"2190 West White River Bend Blvd. Suite B Muncie, IN 47303",(765) 212-2591,Inst. Ken Ring
Richmond,Indiana,"2023 Chester Blvd (YMCA) Richmond, IN 47374",(765) 969-3334,Inst. Gary Phillips
Bettendorf,Iowa,"1018 Spruce Hills Dr Bettendorf, IA 52722",(563) 505-5289,JIKJN Jeff Green
Le Claire,Iowa,"427 North 3rd Street Le Claire, IA 52753",(563) 505-5289,JIKJN Jeff Green
Burton,Michigan,"5515 Davison Rd #7 Burton, MI 48509",(810) 908-2659,Inst. Ken Wright
Madison Heights,Michigan,"26751 John Road Madison Heights, MI 48071",(248) 278-6161,Inst. Gehrik Mohr
Sault Ste. Marie,Michigan,"1200 Ryan Street Sault Ste. Marie, MI 49783",(906) 630-1929,PKJN Karl Stolt
Spring Lake,Michigan,"14700 State Rd Springlake, MI 49456",(616) 499-5857,Inst. Sam Ferrell
St. Paul,Minnesota,"800 Transfer Road #34 St. Paul, MN 55104",(651) 645-1455,PKJN. Steffen Kellogg
Brentwood,Missouri,"Brentwood Rec. Center 2505 S. Brentwood Blvd.  Brentwood, MO 63144",(636) 928-0035,PKJN Lee Harvey
O' Fallon,Missouri,"929 N. Main St. O' Fallon, MO 63366",(636) 978-5425,PKJN. Kelly  Fleites
St. Louis,Missouri,"#1 East Sutters Mill Road St. Peters, MO 63376",(636) 928-0035,JIKJN Jack Harvey
Cleveland,Ohio,"Cleveland Heights Recreation Center 1 Montecello Blvd.  Cleveland Heights, OH 44118",(216) 501-3063,Inst. David Pritts
Dayton,Ohio,"Christian Life Center 3489 Little York Rd. Dayton, OH 45414",(937) 836-2149,Inst. Cindy Redolfi
Streetsboro,Ohio,"Streetsboro Recreation Center 9184 St. Rt 43 Streetsboro, OH 44241",(440) 336-2833,PKJN Bob Williams
Madison,Wisconsin,"University of Wisconsin Eagle Heights Community Center 611 Eagle Heights Madison, WI 53705",(281) 253-7944,Inst. Max Magee
Milwaukee,Wisconsin,"2810 N. Bremen St. Milwaukee, WI 53201",(414) 467-3613,Inst. Michael Monahan
Wilmington,Delaware,"2601 Carpenter Station Rd #16 WIlmington, DE 19810",(302) 757-9789,JDKJN Sung Gu Yea
Washington,District of columbia,605 Rhode Island Avenue NE Washigton DC 20019,(301) 801-4398,Inst. Russell Moore
Capitol Heights,Maryland,"NEW location!!! 7905 Central Ave Capitol Heights, MD 20743",(202) 437-2548,PKJN. Marlin Godfrey
Dunkirk,Maryland,"10379 Southern Maryland Blvd. Dunkirk, MD 20754",(410) 286-0068,PKJN. Marlin Godfrey
Landover,Maryland,"8001 Sheriff Rd Landover, MD 20785",(202) 437-2548,PKJN. Marlin Godfrey
N. Laurel,Maryland,"New School ! North Laurel Community Center 9411 Whiskey Botton Rd Laurel, MD 20723",(301) 509-2030,Inst. Darren Fulmore
Clinton,Massachusetts,"386 High St Clinton, MA 01510",(978) 706-1779,Inst. Kenneth Schalk
Auburn,New york,"NEW Location !!! 100 Genesee St Auburn, NY 13021",(315) 729-2202,Inst. Tim Webster
Saratoga Springs,New york,"54 Weibel Ave  Saratoga Springs, NY 12866",(518) 242-9968,Inst. Jason Tetu
Webster,New york,"396 Route 104 Ontario, NY 14519",(585) 216-2122,JIKJN Gary Evarts
Williamson,New york,"4081 West Main Street Williamson, NY 14589",(315) 589-4066,JIKJN Gary Evarts
Wolcott,New york,"11807 West Main Street Wolcott, NY 14590",(315) 594-8991,PKJN Joseph Burnett
Greensboro,North carolina,"N.C. A&T State University 1601 East Market Street Greensboro, NC 27411",,PKJN Steve Hurley
Beale AFB,California,"Beale AFB Wheatland, CA 95692",(530) 218-6425,Inst. Richard Rountree
Berkeley,California,"2438 Sacramento Street Berkeley, CA",(510) 540-8070,JIKJN Tom Brewer
DIXON,California,"201 SOUTH FIFTH ST DIXON, CA 95620",(530) 908-0756,Inst. Tiffany Bunn
Dublin,California,"4558 Dublin Blvd. Dublin, CA 94568",(925) 551-8200,JIKJN Seyd Saidi
