City,Region,Address,Phone #s,Instructor,Latitude,Longitude,Geocode Type
Champaign,Illinois,"University of Illinois 201 E. Peabody Champaign, IL",(630) 901-4739,Inst. Sarah Rogers,40.1164204,-88.2433829,APPROXIMATE
Galesburg,Illinois,,(309) 342-6222,JDKJN Ed Sanchez,40.94781580000001,-90.3712395,APPROXIMATE
Gurnee,Illinois,New Location 4628 Old Grand Ave Gurnee. IL 60031,(847) 962-8600,PKJN Tim Seitz,42.3710159,-87.91757220000001,RANGE_INTERPOLATED
Knoxville,Illinois,"220 West Side Public Square Knoxville, Il 61448",(309) 289-9757,Inst. Joshua Smith,40.9083715,-90.28484759999999,APPROXIMATE
Pekin,Illinois,"1530 N. 8th Street off Route 29 Pekin, IL 61554",(309) 346-3466,Inst. Michael Yates,40.5675388,-89.640658,APPROXIMATE
Peoria,Illinois,"2302 West Glen Ave Peoria, IL 61614",(309) 229-0287,PKJN Ben Mitchell,40.746747,-89.62993,ROOFTOP
Connersville,Indiana,"3542 Western Ave Connersville, IN 47331",(765) 993-8315,Inst.Benjamin Klein,39.67671,-85.137948,ROOFTOP
Muncie,Indiana,"2190 West White River Bend Blvd. Suite B Muncie, IN 47303",(765) 212-2591,Inst. Ken Ring,40.1864235,-85.4112468,ROOFTOP
Richmond,Indiana,"2023 Chester Blvd (YMCA) Richmond, IN 47374",(765) 969-3334,Inst. Gary Phillips,39.8289369,-84.8902382,APPROXIMATE
Bettendorf,Iowa,"1018 Spruce Hills Dr Bettendorf, IA 52722",(563) 505-5289,JIKJN Jeff Green,41.554781,-90.516629,ROOFTOP
Le Claire,Iowa,"427 North 3rd Street Le Claire, IA 52753",(563) 505-5289,JIKJN Jeff Green,41.601184,-90.346959,ROOFTOP
Burton,Michigan,"5515 Davison Rd #7 Burton, MI 48509",(810) 908-2659,Inst. Ken Wright,43.03435500000001,-83.5966976,ROOFTOP
Madison Heights,Michigan,"26751 John Road Madison Heights, MI 48071",(248) 278-6161,Inst. Gehrik Mohr,42.4897411,-83.1054001,ROOFTOP
Sault Ste. Marie,Michigan,"1200 Ryan Street Sault Ste. Marie, MI 49783",(906) 630-1929,JIKJN Karl Stolt,46.4898517,-84.3596458,ROOFTOP
Spring Lake,Michigan,"14700 State Rd Springlake, MI 49456",(616) 795-3048,Inst. Sam Ferrell,43.0863101,-86.15307729999999,ROOFTOP
St. Paul,Minnesota,"800 Transfer Road #34 St. Paul, MN 55104",(651) 645-1455,PKJN. Steffen Kellogg,44.9651852,-93.18500399999999,ROOFTOP
