City,Region,Address,Phone #s,Instructor,Latitude,Longitude,Geocode Type,Google Address
Crystal Lake,Illinois,"Mc Henry County College 8900 US Hwy 14 Crystal Lke, IL 60012",(847) 962-8600,PKJN Tim Seitz,42.26001979999999,-88.3685333,ROOFTOP,"8900 US-14, Crystal Lake, IL 60012, USA"
Galesburg,Illinois,"415 East Main Street Galesburg, IL 61401",(309) 342-6222,JDKJN Ed Sanchez,40.947592,-90.3643311,ROOFTOP,"415 E Main St, Galesburg, IL 61401, USA"
Gurnee,Illinois,4628 Old Grand Ave Gurnee. IL 60031,(847) 962-8600,PKJN Tim Seitz,42.3719846,-87.9187721,RANGE_INTERPOLATED,"4628 Old Grand Ave, Gurnee, IL 60031, USA"
Knoxville,Illinois,"220 West Side Public Square Knoxville, Il 61448",(309) 289-9757,PKJN Joshua Smith,40.9079433,-90.2849968,GEOMETRIC_CENTER,"S Public Square, Knoxville, IL 61448, USA"
Monmouth,Illinois,"NEW!!! 120 East Euclid Avenue Monmouth, IL 61462",(309) 335-5697,Inst. Randy Timmerman,40.9174656,-90.6471098,ROOFTOP,"120 E Euclid Ave, Monmouth, IL 61462, USA"
Normal,Illinois,"NEW!!! 802 S. Eldorado Road Suite A3 Bloomington, IL 61704",(309) 229-1551,Inst. Megan Farris,40.4700137,-88.95219689999999,ROOFTOP,"802 S Eldorado Rd A3, Bloomington, IL 61704, USA"
Pekin,Illinois,"NEW Location! 122 S. 14th Street Pekin, IL 61554",(309) 346-3466,Inst. Michael Yates,40.5665985,-89.6310192,ROOFTOP,"122 S 14th St, Pekin, IL 61554, USA"
Peoria,Illinois,"5221 N. Big Hollow Road Peoria, IL 61615",(309) 692-0144,PKJN Ben Mitchell,40.7513381,-89.6366572,ROOFTOP,"5221 N Big Hollow Rd, Peoria, IL 61615, USA"
Washington,Illinois,"NEW!! 1227 Peoria Street Washington, IL 61571",(309) 292-7101,Inst. Troi Westbrook,40.70333309999999,-89.4260867,ROOFTOP,"1227 Peoria St, Washington, IL 61571, USA"
Connersville,Indiana,"3542 Western Ave Connersville, IN 47331",(765) 993-8315,Inst.Benjamin Klein,39.67671,-85.137948,ROOFTOP,"3542 Western Ave, Connersville, IN 47331, USA"
Muncie,Indiana,"2190 West White River Bend Blvd. Suite B Muncie, IN 47303",(765) 212-2591,Inst. Ken Ring,40.1870315,-85.4114203,ROOFTOP,"2190 W White River Blvd Suite B, Muncie, IN 47303, USA"
