City,Region,Address,Phone #s,Instructor
Crystal Lake,Illinois,"Mc Henry County College 8900 US Hwy 14 Crystal Lke, IL 60012",(847) 962-8600,PKJN Tim Seitz
Galesburg,Illinois,"415 East Main Street Galesburg, IL 61401",(309) 342-6222,JDKJN Ed Sanchez
Gurnee,Illinois,4628 Old Grand Ave Gurnee. IL 60031,(847) 962-8600,PKJN Tim Seitz
Knoxville,Illinois,"220 West Side Public Square Knoxville, Il 61448",(309) 289-9757,PKJN Joshua Smith
Monmouth,Illinois,"NEW location! 1135 S. Main Street Monmouth, IL 61462",(309) 335-5697,Inst. Randy Timmerman
Normal,Illinois,"NEW!!! 802 S. Eldorado Road Suite A3 Bloomington, IL 61704",(309) 229-1551,Inst. Megan Farris
Pekin,Illinois,"NEW Location! 122 S. 14th Street Pekin, IL 61554",(309) 346-3466,Inst. Michael Yates
Peoria,Illinois,"5221 N. Big Hollow Road Peoria, IL 61615",(309) 692-0144,PKJN Ben Mitchell
Washington,Illinois,"NEW!! 1227 Peoria Street Washington, IL 61571",(309) 292-7101,Inst. Troi Westbrook
Connersville,Indiana,"3542 Western Ave Connersville, IN 47331",(765) 993-8315,Inst.Benjamin Klein
Muncie,Indiana,"2190 West White River Bend Blvd. Suite B Muncie, IN 47303",(765) 212-2591,Inst. Ken Ring
Richmond,Indiana,"2023 Chester Blvd (YMCA) Richmond, IN 47374",(765) 969-3334,PKJN Gary Phillips
Bettendorf,Iowa,"1018 Spruce Hills Dr Bettendorf, IA 52722",(563) 505-5289,JIKJN Jeff Green
Le Claire,Iowa,"427 North 3rd Street Le Claire, IA 52753",(563) 505-5289,JIKJN Jeff Green
Burton,Michigan,"5515 Davison Rd #7 Burton, MI 48509",(810) 908-2659,PKJN Ken Wright
Madison Heights,Michigan,"26751 John Road Madison Heights, MI 48071",(248) 291-7157,Inst. Gehrik Mohr
Sault Ste. Marie,Michigan,"1200 Ryan Street Sault Ste. Marie, MI 49783",(906) 630-1929,JIKJN Karl Stolt
Spring Lake,Michigan,"14700 State Rd Springlake, MI 49456",(616) 795-3048,Inst. Sam Ferrell
St. Paul,Minnesota,"800 Transfer Road #34 St. Paul, MN 55104",(651) 645-1455,PKJN. Steffen Kellogg
O' Fallon,Missouri,"929 N. Main St. O' Fallon, MO 63366",(636) 978-5425,PKJN. Kelly  Fleites
St. Louis,Missouri,"#1 East Sutters Mill Road St. Peters, MO 63376",(636) 928-0035,JDKJN Jack Harvey
Cleveland,Ohio,"Cleveland Heights Recreation Center 1 Montecello Blvd.  Cleveland Heights, OH 44118",(216) 501-3063,Inst. David Pritts
Dayton,Ohio,"Christian Life Center 3489 Little York Rd. Dayton, OH 45414",(937) 836-2149,Inst. Cindy Redolfi
Kirtland,Ohio,"7900 Euclid Chardon Road Kirtland, OH 44094",(216) 501-3063,Inst. David Pritts
Streetsboro,Ohio,"Streetsboro Recreation Center 9184 St. Rt 43 Streetsboro, OH 44241",(440) 336-2833,PKJN Bob Williams
Madison,Wisconsin,"University of Wisconsin Eagle Heights Community Center 611 Eagle Heights Madison, WI  53705",(281) 253-7944,Inst. Max Magee
"Williston, ND",Wisconsin,"NEW!!! 10 Main Street Williston, ND 58801",(612) 387-0393,Inst.Audrey Kalil
Washington,District of columbia,605 Rhode Island Avenue NE Washigton DC 20019,(301) 801-4398,Inst. Russell Moore
Capitol Heights,Maryland,"7905 Central Ave Capitol Heights, MD 20743",(202) 437-2548,PKJN. Marlin Godfrey
N. Laurel,Maryland,"North Laurel Community Center 9411 Whiskey Botton Rd Laurel, MD 20723",(301) 509-2030,Inst. Darren Fulmore
Prince Frederick,Maryland,"NEW!!! 3170 German Chapel Road Prince Frederick, MD 20678",(443) 624-1808,Inst. Andrew Eason
Clinton,Massachusetts,"386 High St Clinton, MA 01510",(978) 706-1779,Inst. Kenneth Schalk
Saratoga Springs,New york,"54 Weibel Ave   Saratoga Springs, NY  12866",(518) 242-9968,Inst. Jason Tetu
Webster,New york,"396 Route 104 Ontario, NY 14519",(585) 216-2122,JDKJN Gary Evarts
Williamson,New york,"4081 West Main Street Williamson, NY 14589",(315) 589-4066,JDKJN Gary Evarts
Wolcott,New york,"11807 West Main Street Wolcott, NY 14590",(315) 594-8991,JIKJN Joseph Burnett
Greensboro,North carolina,"N.C. A&T State University 1601 East Market Street Greensboro, NC 27411",,PKJN Steve Hurley
Luke AFB,Arizona,"NEW!!! Luke AFB Bryant Fitness Center & Youth Center 14185 West Falcon Street Glendale, AZ 85309",(623) 337-0258,Inst. Angela Hoikka
Phoenix,Arizona,"NEW!!! 126 W. Desert Hills Phoenix, AZ 85086",(623) 337-0258,Inst. Angela Hoikka
Surprise/ Sun Ciity West,Arizona,"NEW!!! 14465 RH Johnson Blvd Sun City West, AZ 85375",(623) 518-0056,JIKJN Terry Heaps
Berkeley,California,"2438 Sacramento Street Berkeley, CA",(510) 540-8070,JDKJN Tom Brewer
DIXON,California,"201 SOUTH FIFTH ST DIXON, CA 95620",(530) 908-0756,Inst. Tiffany Bunn
Dublin,California,"4558 Dublin Blvd. Dublin, CA 94568",(925) 551-8200,JIKJN Seyd Saidi
El Dorado Hills,California,"2222 Francisco Blvd. El Dorado Hills, CA 95762",(530) 642-9031,PKJN Justin Painter
Gold Country,California,"127 Argall Way Nevada City, CA 95959",(530) 478-1412,JIKJN Tony Reyna
Half Moon Bay,California,"432- B Main St Half Moon Bay, CA 94019",(650) 726-4132,JIKJN Paul Carmody
Huntington Beach,California,"NEW!! Lake Park Clubhouse 1035 11th Street Huntington Beach, CA 92648",(661) 644-6514,JIKJN Gene Gause
Lake Hughes,California,"17520 Lake Elizabeth Road Lake Hughes, CA 93532",(661) 202-8085,PKJN David Collins
Lincoln,California,"2010 First Street Lincoln, CA 95648",(916) 253-3801,Inst. John Santilena
Los Altos,California,"NEW LOCATION ! 347- 1 Street Los Altos, CA 94022",(650) 938-1553,JIKJN.David Hespelt
Menlo Park,California,"Burgess Recreation Center 700 Alma Street Menlo Park, CA 94025",(650) 787-2226,PKJN. Kristin Quintana
Millbrae,California,"30 Rollins Road Millbrae, CA 94030 (650) 692-KICK (5425)",,Inst. Dong Nguyen
Palmdale,California,"38218 6th Street East Palmdale, CA 93550",(661) 947-3992;(661) 273-3235,PKJN Antony Kinzell
Placerville,California,"5690 Motherlode Drive Placerville, CA 95667",,PKJN Justin Painter
Redwood City,California,"2135 Roosevelt Ave  Redwood City, CA 94061",(650) 368-2761,JDKJN Hafez Adle
Rohnert Park,California,"320 Professional Drive, #150 Rohnert Park, CA 94928",(707) 494-1151,PKJN Debra Taylor
Sacramento,California,"Mather Sports Complex 3755 Schriever Ave Mather, CA 95655",(916) 308-6577,PKJN. Kymberly Wadsworth
San Francisco,California,"NEW Location! 25 Lake Street San Francisco, CA 94118  415-868-KICK",,PKJN. Leora Goren
San Lorenzo,California,"17321 Hesperian Blvd. San Lorenzo, CA 94580",(510) 276-3834,JIKJN Seyd Saidi
San Mateo,California,"31 West 25th Avenue San Mateo, CA",(650) 570-5991,JIKJN Tim Sheehan
Santa Clarita,California,"27831 Smyth Drive Valencia, CA 91355",(661) 523-3455,Inst. Sydney Albert
Sherman Oaks,California,"New Location!  Sherman Oaks East Valley Adult Center 5056 Van Nuys Boulevard Van Nuys, CA 91403",(818) 859-2670,Inst. Christa Wilson
Sylmar,California,"NEW!!! 13788A Foothill Blvd. Sylmar, CA 91342",(818) 939-8800,Inst. Nathan Hemmens
Visitacion Valley,California,"189 Leland Ave St San Fransico, CA",(415) 298-5360,Inst. Jorge Liberona
Wheatland,California,"420 Front Street Wheatland, CA 95692",(530) 713-2379,PKJN Rick Cairnes
Woodland,California,"618 Cottonwood St. Woodland, CA",(530) 406-0618,PKJN Justin Bunn
Yuba City,California,"236 Bridge St. Yuba City, CA 95991",(530) 821-2275,PKJN Daniel Tejada
Fort Smith (River Valley),Arkansas,"3112 Cavanaugh Road Fort Smith, AR 72903",(479) 649-3542,JIKJN Mike Gray
