,Country,Country Code,City,Region,Address,Website,Phone #s,Instructor,Latitude,Longitude,Geocode Type,Google Address
0,DENMARK,DK,Ikast,Ikast,NEW!!!  The Heart Ikast & Brande Bøgildvej 2 7430 Ikast Denmark,http://www.kswikast.com ,21 47 32 57,Instr. Phil Brooks,56.1367943,9.1273999,ROOFTOP,"Bøgildvej 2, 7430 Ikast, Denmark"
1,U.S.A.,US,Crystal Lake,Illinois,"Mc Henry County College 8900 US Hwy 14 Crystal Lke, IL 60012",,(847) 962-8600,PKJN Tim Seitz,42.26001979999999,-88.3685333,ROOFTOP,"8900 US-14, Crystal Lake, IL 60012, USA"
2,U.S.A.,US,Galesburg,Illinois,"415 East Main Street Galesburg, IL 61401",,(309) 342-6222,JDKJN Ed Sanchez,40.947592,-90.3643311,ROOFTOP,"415 E Main St, Galesburg, IL 61401, USA"
3,U.S.A.,US,Gurnee,Illinois,4628 Old Grand Ave Gurnee. IL 60031,,(847) 962-8600,PKJN Tim Seitz,42.3719846,-87.9187721,RANGE_INTERPOLATED,"4628 Old Grand Ave, Gurnee, IL 60031, USA"
4,U.S.A.,US,Knoxville,Illinois,"220 West Side Public Square Knoxville, Il 61448",,(309) 289-9757,PKJN Joshua Smith,40.9083715,-90.28484759999999,APPROXIMATE,"Knoxville, IL, USA"
5,U.S.A.,US,Monmouth,Illinois,"NEW location! 1135 S. Main Street Monmouth, IL 61462",,(309) 335-5697,Inst. Randy Timmerman,40.89924269999999,-90.6482394,ROOFTOP,"1135 S Main St, Monmouth, IL 61462, USA"
6,U.S.A.,US,Normal,Illinois,"NEW!!! 802 S. Eldorado Road Suite A3 Bloomington, IL 61704",,(309) 229-1551,Inst. Megan Farris,40.4700525,-88.95208470000001,ROOFTOP,"802 S Eldorado Rd A3, Bloomington, IL 61704, USA"
7,U.S.A.,US,Pekin,Illinois,"NEW Location! 122 S. 14th Street Pekin, IL 61554",http://www.kuksoolwonofpekin.com,(309) 346-3466,Inst. Michael Yates,40.5665985,-89.6310192,ROOFTOP,"122 S 14th St, Pekin, IL 61554, USA"
8,U.S.A.,US,Peoria,Illinois,"5221 N. Big Hollow Road Peoria, IL 61615",http://www.kswofpeoria.net/,(309) 692-0144,PKJN Ben Mitchell,40.7513381,-89.6366572,ROOFTOP,"5221 N Big Hollow Rd, Peoria, IL 61615, USA"
9,U.S.A.,US,Washington,Illinois,"NEW!! 1227 Peoria Street Washington, IL 61571",,(309) 292-7101,Inst. Troi Westbrook,40.70333309999999,-89.4260867,ROOFTOP,"1227 Peoria St, Washington, IL 61571, USA"
